id,recipient_email,kind,title,body,entity_type,entity_id,deal_id,read,created_at,pushed_at,url,action_type,action_state,route,due_at,priority,acted_by,acted_at,dedupe_key
28,jesus@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,9bafade5-4c4c-4b53-b259-33e6a862450e,,t,2026-07-08 22:48:14.377758+00,,,,none,,,0,,,
30,jesus@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,0968dc28-805c-451d-8066-9813441c8d19,,t,2026-07-08 22:48:25.818728+00,,,,none,,,0,,,
32,jesus@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,2e59da3a-ce90-4617-8d56-10fc4014f520,,t,2026-07-08 22:48:31.661471+00,,,,none,,,0,,,
34,jesus@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,7774b22f-5c02-43fd-9df3-6df8263e1b82,,t,2026-07-08 22:48:38.506473+00,,,,none,,,0,,,
39,jesus@newman.re,coverage_breach,Cobertura LLCR/PLCR — default,"GEEP ( Pepsi ) — LLCR 0.443 / PLCR 0.997 (SICR prospectivo, sin mora)",counterparty,,aa870e4f-3f75-4165-a9a8-72b07822d81e,t,2026-07-08 23:17:34.154653+00,,,,none,,,0,,,
42,jesus@newman.re,coverage_breach,Cobertura LLCR/PLCR — default,"GEEP ( Pepsi ) — LLCR 0.794 / PLCR 1.784 (SICR prospectivo, sin mora)",counterparty,,aa870e4f-3f75-4165-a9a8-72b07822d81e,t,2026-07-08 23:29:20.246025+00,,,,none,,,0,,,
50,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 165/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 00:20:00.176172+00,,,,none,,,0,,,
51,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 49/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 00:30:00.090627+00,,,,none,,,0,,,
52,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 48/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 00:40:00.081311+00,,,,none,,,0,,,
53,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 47/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 00:50:00.078564+00,,,,none,,,0,,,
54,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 47/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 01:00:00.103331+00,,,,none,,,0,,,
55,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 44/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 01:10:00.096995+00,,,,none,,,0,,,
56,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 42/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 01:20:00.086422+00,,,,none,,,0,,,
57,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 38/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 01:30:00.094108+00,,,,none,,,0,,,
58,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 59/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 02:10:00.085541+00,,,,none,,,0,,,
59,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 61/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 02:20:00.076502+00,,,,none,,,0,,,
60,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 56/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 02:40:00.047527+00,,,,none,,,0,,,
61,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 55/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 02:50:00.082068+00,,,,none,,,0,,,
62,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 52/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 03:00:00.098742+00,,,,none,,,0,,,
63,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 50/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 03:10:00.085037+00,,,,none,,,0,,,
64,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 48/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 03:20:00.082662+00,,,,none,,,0,,,
65,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 45/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 03:30:00.092545+00,,,,none,,,0,,,
66,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 42/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 03:40:00.109598+00,,,,none,,,0,,,
67,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 39/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 03:50:00.086932+00,,,,none,,,0,,,
68,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 37/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 04:00:00.098814+00,,,,none,,,0,,,
69,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 36/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 04:10:00.092817+00,,,,none,,,0,,,
70,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 225/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 04:20:00.080969+00,,,,none,,,0,,,
71,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 41/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 04:30:00.088124+00,,,,none,,,0,,,
72,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 36/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 04:40:00.082637+00,,,,none,,,0,,,
73,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 37/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 04:50:00.097207+00,,,,none,,,0,,,
74,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 35/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 05:00:00.110531+00,,,,none,,,0,,,
75,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 30/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 05:10:00.085667+00,,,,none,,,0,,,
76,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 31/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 05:20:00.079367+00,,,,none,,,0,,,
77,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 33/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 05:30:00.092018+00,,,,none,,,0,,,
78,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 30/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 05:40:00.093513+00,,,,none,,,0,,,
79,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 32/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 05:50:00.076347+00,,,,none,,,0,,,
80,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 30/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 06:00:00.10608+00,,,,none,,,0,,,
81,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 27/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 06:10:00.070217+00,,,,none,,,0,,,
82,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 225/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 06:20:00.047957+00,,,,none,,,0,,,
83,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 24/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 06:30:00.121869+00,,,,none,,,0,,,
84,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 26/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 06:40:00.09876+00,,,,none,,,0,,,
85,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 22/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 06:50:00.09153+00,,,,none,,,0,,,
86,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 21/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 07:00:00.109603+00,,,,none,,,0,,,
91,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 22/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 07:10:00.096056+00,,,,none,,,0,,,
92,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 24/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 07:20:00.099367+00,,,,none,,,0,,,
93,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 24/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 07:30:00.103275+00,,,,none,,,0,,,
94,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 24/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 07:40:00.083773+00,,,,none,,,0,,,
95,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 20/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 07:50:00.111539+00,,,,none,,,0,,,
102,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 17/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 08:00:00.14556+00,,,,none,,,0,,,
103,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 15/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 08:10:00.120277+00,,,,none,,,0,,,
104,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 225/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 08:20:00.066252+00,,,,none,,,0,,,
105,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 15/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 08:30:00.107778+00,,,,none,,,0,,,
106,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 16/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 08:40:00.133923+00,,,,none,,,0,,,
107,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 15/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 08:50:00.113941+00,,,,none,,,0,,,
108,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 10/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 09:00:00.114618+00,,,,none,,,0,,,
109,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 13/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 09:10:00.183541+00,,,,none,,,0,,,
110,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 10/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 09:20:00.115726+00,,,,none,,,0,,,
111,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 12/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 09:30:00.125643+00,,,,none,,,0,,,
112,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 9/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 09:40:00.089106+00,,,,none,,,0,,,
113,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 10/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 09:50:00.057805+00,,,,none,,,0,,,
114,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 225/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 10:20:00.068309+00,,,,none,,,0,,,
115,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 8/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 10:30:00.119382+00,,,,none,,,0,,,
116,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 8/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 10:40:00.081917+00,,,,none,,,0,,,
117,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 7/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 10:50:00.090453+00,,,,none,,,0,,,
118,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 225/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 12:20:00.07162+00,,,,none,,,0,,,
119,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 225/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 12:30:00.094285+00,,,,none,,,0,,,
120,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 225/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 14:20:00.079243+00,,,,none,,,0,,,
121,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 83/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-10 12:30:00.097618+00,,,,none,,,0,,,
122,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 95/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-10 13:30:00.111229+00,,,,none,,,0,,,
123,jesus@newman.re,ai_draft,Borrador IA por revisar,Un borrador generado espera tu aprobación antes de enviarse.,deal,3c1ba0a4-7852-4346-83f8-4dcaf8985bd4,057bafa7-f0d4-47a0-8425-4dbc6b9fffee,f,2026-07-11 18:00:00.156197+00,,,ai_draft,pending,/deals/057bafa7-f0d4-47a0-8425-4dbc6b9fffee,,1,,,aidraft:3c1ba0a4-7852-4346-83f8-4dcaf8985bd4
