id,account_id,name,email,phone,title,status,monday_item_id,created_at,updated_at,company,department,mobile,address,city,state,country,website,birthday,notes,labels,source,google_resource_name,custom,description,company_id,owner_id,enrich_pending,enrich_asked_at
0156cf84-34fb-4f29-a8d8-edb4fb18dccb,,AIT GmbH,office@ait.ac.at,,,,,2026-07-08 13:55:31.98229+00,2026-07-08 15:37:37.303214+00,AIT Austrian Institute of Technology GmbH,,,,Vienna,,Austria,https://www.ait.ac.at,,,"{Research/Academic,Austria}",google,,{},Austrian applied research institute working on energy and technology topics.,,,f,
0170b3ed-002b-498a-acf0-0b4660c8eb3c,,EVS GmbH,info@evs-hydrogen.de,+49 85939388520,,,,2026-07-08 13:56:05.97641+00,2026-07-08 15:37:37.303214+00,EVS Hydrogen GmbH,,,,,,Germany,https://www.evs-hydrogen.de,,,"{Other,Germany,Hydrogen}",google,,{},German company focused on hydrogen technology solutions.,,,f,
0179c68f-6fa8-4a90-a866-f204d56caa8f,,Tridens,ales.pristovnik@tridenstechnology.com,+386 31 627 462,,,,2026-07-08 13:57:24.117418+00,2026-07-08 15:37:37.303214+00,Tridens,,,,,,Slovenia,https://tridenstechnology.com/ev-charge/,,,"{Software,Slovenia,""EV Charging""}",google,,{},Slovenian provider of EV charging software and management systems.,,,f,
017e2d1c-1215-43f8-838a-a380adfe3b6d,,HERING GmbH,dana.mueller@hering-sanikonzept.de,+492736484,,,,2026-07-08 13:56:18.640535+00,2026-07-08 15:37:37.303214+00,HERING Sanikonzept GmbH,,,,,,Germany,https://www.heringinternational.com/de/produkte-leistungen/oeffentliche-wc-anlagen/,,,"{Other,Germany}",google,,{},"German company providing public restroom/sanitary facility solutions, tangential to energy sector.",,,f,
017f9493-9c4e-4d58-a37b-c30c6c8c91e5,,SUNKEAN LTD.,sales@sunkean.com,+86 0510 81083036,,,,2026-07-08 13:57:17.00103+00,2026-07-08 15:37:37.303214+00,"SUNKEAN CABLE CO., LTD.",,,,,,China,https://www.sunkean.com,,,"{Cable/BOS,China,""Solar PV""}",google,,{},Chinese manufacturer of solar and photovoltaic cables.,,,f,
0182fbe9-21cb-452d-a0be-1f6c00af41ab,,Trade E,,+49 761 38813700,,,,2026-07-08 13:57:23.499212+00,2026-07-08 15:37:37.303214+00,Trade Press Booth The smarter E,,,,Munich,,Germany,,,,"{Other,Germany}",google,,{},Trade press booth contact associated with The smarter E energy trade fair.,,,f,
01a3d4ea-09a4-4aa1-86a6-d0a1311ab6e6,,Hunan Ltd,info@rikasensor.com,+86-731-85518380,,,,2026-07-08 13:56:21.749543+00,2026-07-08 15:37:37.303214+00,"Hunan Rika Electronic Tech Co.,Ltd",,,,,Hunan,China,https://www.rikasensor.com,,,"{Metering/Monitoring,China}",google,,{},Chinese manufacturer of sensors and weather monitoring stations.,,,f,
01a5aeba-71f5-47c3-90c9-b1fce5e04a14,,XIAMEN LTD,,,,,,2026-07-08 13:57:34.507742+00,2026-07-08 15:37:37.303214+00,"XIAMEN E-STAR ENERGY CO.,LTD",,,,Xiamen,Fujian,China,https://www.estarenergy.com,,,"{""Module Mfr"",China,""Solar PV""}",google,,{},Chinese solar energy company producing PV modules and related products.,,,f,
01a9d5d9-f6cd-4cf9-8205-3440e1fb0797,,Voltfang GmbH,marketing@voltfang.de,+49 241 5570 3935,,,,2026-07-08 13:57:29.660705+00,2026-07-08 15:37:37.303214+00,Voltfang GmbH,,,,,,Germany,https://www.voltfang.de,,,"{Battery/Storage,Germany}",google,,{},German company producing second-life battery energy storage systems.,,,f,
01b76af7-fd64-48d3-94b7-9eb39a06932c,,Energet ）,official@energetsolar.com,+8613672181100,,,,2026-07-08 13:56:00.302301+00,2026-07-08 15:37:37.303214+00,"Energet Solar（Tianjin Yizhao International Trade Co.,Ltd.）",,,,Tianjin,,China,https://www.energetsolar.com,,,"{Distributor,China,""Solar PV""}",google,,{},Chinese trading company exporting solar energy products.,,,f,
01b8322d-74f8-4f7f-ad18-44cbda4dd9dc,,PEM University,p.cacciotti@pem.rwth-aachen.de,+491741746479,,,,2026-07-08 13:56:48.652462+00,2026-07-08 15:37:37.303214+00,PEM der RWTH Aachen University,,,,Aachen,,Germany,https://www.pem.rwth-aachen.de,,,"{Research/Academic,Germany,""EV Charging""}",google,,{},Research institute at RWTH Aachen University focused on production engineering for e-mobility.,,,f,
01ccb76a-c2b9-4fd2-826c-8a9261489796,,ATMOCE,sandra.valverde@atmoce.com,+34678175322,,,,2026-07-08 13:55:36.853557+00,2026-07-08 15:37:37.303214+00,ATMOCE,,,,,,Spain,https://www.atmoce.com,,,"{Other,Spain}",google,,{},Spanish company operating in the energy technology sector.,,,f,
01f11eb7-2d33-4ea5-b251-d6b826375e35,,Powerway Energy,info@pvpowerway.com,(86)757-8259 6536,,,,2026-07-08 13:56:51.4977+00,2026-07-08 15:37:37.303214+00,Powerway Renewable Energy s.r.o.,,,,,,Czech Republic,https://www.pvpowerway.com,,,"{Mounting/Tracker,""Czech Republic"",""Solar PV""}",google,,{},"Manufacturer of solar mounting and tracking systems, Czech branch.",,,f,
01f44c76-5630-4823-b4fa-c3c65f5b1ea2,,SHENZHEN LTD.,,+86 0755-23041426,,,,2026-07-08 13:57:06.868619+00,2026-07-08 15:37:37.303214+00,"SHENZHEN UNIT TECHNOLOGY Co, LTD.",,,,Shenzhen,Guangdong,China,https://www.szunit.com,,,"{Other,China,""Solar PV""}",google,,{},Shenzhen-based technology company; product line not fully specified from available sources.,,,f,
020e7dce-48e4-4963-939d-f404d4631fd5,,Guangdong Ltd.,sales@sunbanges.com,+8675523779109,,,,2026-07-08 13:56:14.576618+00,2026-07-08 15:37:37.303214+00,"Guangdong Sunbang Technology Co., Ltd.",,,,,Guangdong,China,https://sunbanges.com,,,"{""Module Mfr"",China,""Solar PV""}",google,,{},Guangdong-based solar technology company supplying PV products.,,,f,
02187665-2257-420e-bdb2-93442e64a500,,CLEANL GmbH,,,,,,2026-07-08 13:55:48.079855+00,2026-07-08 15:37:37.303214+00,CLEANL germany GmbH,,,,,,Germany,https://www.cleanl.de,,,"{Other,Germany,""Solar PV""}",google,,{},"German company, name suggests solar panel cleaning products or services.",,,f,
02471d59-b17b-44fe-b451-4a4e8e6b0276,,R&amp;S Holding,info@the-rsgroup.com,+41619763466,,,,2026-07-08 13:56:54.819534+00,2026-07-08 15:37:37.303214+00,R&amp;S International Holding,,,,,,Germany,https://the-rsgroup.com/,,,"{Other,Germany}",google,,{},International holding company; sector not confirmed from available sources.,,,f,
024b17cf-8656-4806-b877-507269d54089,,Avacon GmbH,,,,,,2026-07-08 13:55:37.365057+00,2026-07-08 15:37:37.303214+00,Avacon Netz GmbH,,,,,,Germany,https://www.avacon-netz.de/netzdienstleistungen,,,"{Utility,Germany,Grid}",google,,{},German electricity distribution network operator offering grid services.,,,f,
025e693d-04fd-40b1-9844-6f7cfc8be17a,,Weidon Ltd.,li.qing@weidonsys.com,+8613636316614,,,,2026-07-08 13:57:31.39466+00,2026-07-08 15:37:37.303214+00,Weidon Systems Technology Ltd.,,,,,,China,https://weidonsys.com,,,"{Other,China}",google,,{},Chinese systems technology company; specific product line not confirmed.,,,f,
026d5b86-5b1b-4c43-bff1-7a81d5647c38,,Solar Media,sm.infosolarmedia@informa.com,,,,,2026-07-08 13:57:10.766796+00,2026-07-08 15:37:37.303214+00,Solar Media,,,,,,United Kingdom,https://www.solarmedia.co.uk,,,"{Consultancy,""United Kingdom"",""Solar PV""}",google,,{},"UK-based solar industry media, events and market intelligence provider.",,,f,
0270a848-4b73-497a-97a9-5788ba244a9d,,MAHLE KG,thermalsystems@mahle.com,+4971541330,,,,2026-07-08 13:56:37.335609+00,2026-07-08 15:37:37.303214+00,MAHLE Industrial Thermal Systems GmbH &amp; Co. KG,,,,,,Germany,https://www.mahle.com,,,"{Other,Germany}",google,,{},German industrial subsidiary of MAHLE producing thermal management systems.,,,f,
027a750c-e5e4-4bdc-acc0-4913f666bd0f,,Emerson,elena.rebiere@emerson.com,+33643630060,,,,2026-07-08 13:55:59.251249+00,2026-07-08 15:37:37.303214+00,Emerson,,,,,,United States,https://www.emerson.com/en-us,,,"{Other,""United States"",Grid}",google,,{},US-based global industrial technology and automation conglomerate.,,,f,
02a0b832-adb6-4ff4-a904-8d0bcf5ceeda,,GreenPocket GmbH,marketing@greenpocket.de,+49 221 3550950,,,,2026-07-08 13:56:13.141469+00,2026-07-08 15:37:37.303214+00,GreenPocket GmbH,,,,Cologne,,Germany,https://www.greenpocket.de,,,"{Software,Germany,Grid}",google,,{},German energy software company providing smart metering and grid data solutions.,,,f,
02d1c2b2-e5b3-4e2d-bb62-4fa8a25f0b09,,voestalpine GmbH,info.krems@voestalpine.com,+43 503 0414-0,,,,2026-07-08 13:57:28.860692+00,2026-07-08 15:37:37.303214+00,voestalpine Krems GmbH,,,,Krems,,Austria,https://www.voestalpine.com/krems,,,"{Mounting/Tracker,Austria}",google,,{},"Austrian voestalpine subsidiary producing steel products, incl. mounting components.",,,f,
02d6139d-c02f-44a2-994e-f8f39b953d49,,KASKA s.r.o.,info@kaska.eu,+420383134231,,,,2026-07-08 13:56:31.130177+00,2026-07-08 15:37:37.303214+00,KASKA s.r.o.,,,,,,Slovakia,https://www.kaska.eu,,,"{Other,Slovakia}",google,,{},Slovak s.r.o. company; specific sector not confirmed from available sources.,,,f,
02e8e10e-4837-40e4-bc20-2ef2c330d05e,,Next GmbH,berschauer@next-kraftwerke.de,+49 (0) 221 82 00 85-0,,,,2026-07-08 13:56:42.826391+00,2026-07-08 15:37:37.303214+00,Next Kraftwerke GmbH,,,,Cologne,,Germany,https://www.next-kraftwerke.de,,,"{Utility,Germany,Grid}",google,,{},German virtual power plant operator aggregating and trading renewable generation.,,,f,
030d7929-e943-4797-ad2f-13e44425abc4,,Dach GmbH,info@dachfuerdach.de,+49 304 2430352,,,,2026-07-08 13:55:51.188612+00,2026-07-08 15:37:37.303214+00,Dach für Dach GmbH,,,,,,Germany,https://dachfuerdach.de/,,,"{EPC/Installer,Germany,Residential}",google,,{},German roofing company offering roof renovation including solar installation.,,,f,
0310563b-c463-43fe-a046-7de60dfb1873,,Sunbeam BV,info@sunbeam.solar,+31 (0)88 09 09 900,,,,2026-07-08 13:57:16.355593+00,2026-07-08 15:37:37.303214+00,Sunbeam BV,,,,,,Netherlands,https://www.sunbeam.solar,,,"{Distributor,Netherlands,""Solar PV""}",google,,{},Dutch BV company distributing solar products.,,,f,
031ed659-f8d8-4a54-a5ba-bfdc34b89c75,,Bundesverband Energiewirtschaft,mail@bne-online.de,+49 30 4005480,,,,2026-07-08 13:55:44.041899+00,2026-07-08 15:37:37.303214+00,Bundesverband Neue Energiewirtschaft e.V.,,,,Berlin,,Germany,https://www.bne-online.de,,,"{Association,Germany}",google,,{},German federal association representing the new/renewable energy industry.,,,f,
031f9396-3bb1-4caf-b279-9ced44669e57,,Weinzierl GmbH,info@weinzierl.de,+498677916360,,,,2026-07-08 13:57:31.441641+00,2026-07-08 15:37:37.303214+00,Weinzierl Engineering GmbH,,,,,,Germany,https://www.weinzierl.de,,,"{Metering/Monitoring,Germany,Grid}",google,,{},German engineering firm developing KNX and building automation monitoring hardware.,,,f,
0329e10f-0e97-49e1-91bf-da61a7f35aef,,Jiangsu Ltd,energy@essis.cc,+8651386818188,,,,2026-07-08 13:56:26.949961+00,2026-07-08 15:37:37.303214+00,"Jiangsu Essis New Energy Technology Co., Ltd",,,,,Jiangsu,China,https://www.essis.cc,,,"{Battery/Storage,China,""Solar PV""}",google,,{},"Jiangsu-based new energy technology company, likely energy storage products.",,,f,
034506f1-248f-4a34-834e-159e95e52b6e,,Hydrogen Networking,,+49 761 38813700,,,,2026-07-08 13:56:22.254814+00,2026-07-08 15:37:37.303214+00,Hydrogen Networking,,,,,,United Kingdom,,,,"{Association,""United Kingdom"",Hydrogen}",google,,{},Hydrogen sector networking organization; no website available to confirm details.,,,f,
0384ed7b-fb64-42a9-949b-0c3ff3182cef,,Qualysoft Technology,erika.brestenska@qualysoft.com,+421911181195,,,,2026-07-08 13:56:54.291714+00,2026-07-08 15:37:37.303214+00,"Qualysoft Information Technology, s.r.o.",,,,,,Slovakia,https://www.qualysoft.com,,,"{Software,Slovakia}",google,,{},Slovak information technology services and software company.,,,f,
039c15f6-5d75-44ef-920a-52ff099baa3c,,Bemis Elektrik,trade@bemis.com.tr,+905427737294,,,,2026-07-08 13:55:41.109825+00,2026-07-08 15:37:37.303214+00,Bemis Teknik Elektrik A.S.,,,,,,Turkey,https://www.bemis.com.tr,,,"{Cable/BOS,Turkey}",google,,{},Turkish electrical equipment company (Teknik Elektrik) supplying trade/industrial products.,,,f,
03d0eeef-4cfd-43bf-a89b-79b6af1a4cdc,,GREINER GmbH,info@greiner.eu,+49635149070,,,,2026-07-08 13:56:13.278894+00,2026-07-08 15:37:37.303214+00,GREINER Schaltanlagen GmbH,,,,,,Germany,https://www.greiner.eu,,,"{Cable/BOS,Germany,Grid}",google,,{},German manufacturer of switchgear (Schaltanlagen) for electrical distribution.,,,f,
03e09f42-2bdf-4ae3-9ffb-a5f194801dae,,HUBEI LTD.,coco.yao@ctwell.net,+8675584690493,,,,2026-07-08 13:56:20.865629+00,2026-07-08 15:37:37.303214+00,"HUBEI CTWELL ELECTRONICS CO.,LTD.",,,,,Hubei,China,https://www.ctwell.net,,,"{""Inverter Mfr"",China,""Solar PV""}",google,,{},"Hubei-based electronics manufacturer, likely producing power/inverter electronics.",,,f,
03e520bf-2e4f-4d33-8f33-11825bb96d17,,Shenzhen Ltd.,3278260566@qq.com,+8613380326547,,,,2026-07-08 13:56:14.094299+00,2026-07-08 15:37:37.303214+00,"Shenzhen Washi Energy Co., Ltd.",,,,Shenzhen,Guangdong,China,https://www.wattcycle.com/,,,"{Battery/Storage,China,""Solar PV""}",google,,{},Shenzhen-based energy company (Wattcycle) producing battery storage products.,,,f,
03e63c9b-99e7-44af-8e0b-caf33e0c1e3e,,Huizhou Ltd,,,,,,2026-07-08 13:56:21.467703+00,2026-07-08 15:37:37.303214+00,"Huizhou Ultimate Intelligence Technology Co., Ltd",,,,Huizhou,Guangdong,China,https://www.u-energie.de,,,"{Battery/Storage,China,""Solar PV""}",google,,{},Huizhou-based intelligence technology company (U-Energie) producing energy storage products.,,,f,
05e6b1e0-f90f-42ce-b7de-b43a1f04d967,,TÜV Rheinland,genau.richtig@tuv.com,+49 221 8060,,,,2026-07-08 13:57:25.241577+00,2026-07-08 15:37:37.303214+00,TÜV Rheinland,,,,Cologne,,Germany,,,,"{Testing/Certification,Germany}",google,,{},"Global testing, inspection and certification body serving solar and industrial sectors.",,,f,
05f1b99a-9664-4802-8c04-0c819a086317,,Smart Lab,info@smartenergylab.com,+351912000266,,,,2026-07-08 13:57:09.306134+00,2026-07-08 15:37:37.303214+00,Smart Energy Lab,,,,,,Germany,https://www.smartenergylab.com,,,"{Software,Germany,Grid}",google,,{},Energy technology company developing smart energy management software solutions.,,,f,
06142e3e-9f21-473c-821c-2f57748da72c,,Topband GmbH,xuninghong@topband.com.cn,+8615752785175,,,,2026-07-08 13:57:23.15644+00,2026-07-08 15:37:37.303214+00,Topband Germany GmbH,,,,,,Germany,https://www.topband.com/en,,,"{Battery/Storage,Germany}",google,,{},German subsidiary of Chinese manufacturer producing batteries and BMS components.,,,f,
0635bfb1-1183-4448-9521-2e50ffb9c1dd,,Lyric GmbH,jiefei.shi@lyric-automation.de,+491757583643,,,,2026-07-08 13:56:36.793601+00,2026-07-08 15:37:37.303214+00,Lyric Automation Germany GmbH,,,,,,Germany,https://en.lyric-robot.com/,,,"{Other,Germany}",google,,{},"German subsidiary developing automation and robotics, including solar panel cleaning robots.",,,f,
066aa92f-ef35-4b75-897c-801d215ee4b8,,inexogy KG,info@inexogy.com,+4924153809410,,,,2026-07-08 13:56:23.687844+00,2026-07-08 15:37:37.303214+00,inexogy smart metering GmbH &amp; Co. KG,,,,,,Germany,https://www.inexogy.com/,,,"{Metering/Monitoring,Germany}",google,,{},Provides smart metering solutions for energy consumption monitoring.,,,f,
0680c194-c941-43be-9092-45b9e405f46f,,DNV,info@dnv.com,+49 40 361490,,,,2026-07-08 13:55:53.779902+00,2026-07-08 15:37:37.303214+00,DNV,,,,Hovik,,Norway,https://www.dnv.com,,,"{Testing/Certification,Norway}",google,,{},Global assurance and risk management provider offering certification for energy projects.,,,f,
0685e595-87f1-42ba-93ed-70d0e9d43205,,STABL GmbH,info@stabl.com,+49 89 21536326,,,,2026-07-08 13:57:15.000439+00,2026-07-08 15:37:37.303214+00,STABL Energy GmbH,,,,Munich,,Germany,https://www.stabl.com,,,"{Battery/Storage,Germany}",google,,{},Develops modular battery storage systems and software for grid applications.,,,f,
06b07a07-b238-44bd-8979-bd6395a1c8f2,,Krinner GmbH,a.harlander@krinner.com,+4915146620144,,,,2026-07-08 13:56:33.261144+00,2026-07-08 15:37:37.303214+00,Krinner Carport GmbH,,,,,,Germany,https://www.krinner-solar.com,,,"{Mounting/Tracker,Germany}",google,,{},Manufactures ground screw foundations and solar carport mounting systems.,,,f,
07069d7e-d90e-4b91-9c6c-acc9e660cd85,,HUBEI LTD,amy@lab-tester.com,0724-8889001,,,,2026-07-08 13:56:20.912284+00,2026-07-08 15:37:37.303214+00,"HUBEI HONGTU INSTRUMENTI CO.,LTD",,,,,Hubei,China,https://www.hototest.cn,,,"{Testing/Certification,China}",google,,{},Manufactures testing and measurement instruments for laboratories.,,,f,
070e3023-c937-4c67-b927-ef94070bcdef,,Harting KG,de@harting.com,+49 571 8896 0,,,,2026-07-08 13:56:17.206304+00,2026-07-08 15:37:37.303214+00,Harting Deutschland GmbH &amp; Co. KG,,,,Espelkamp,,Germany,https://www.harting.com,,,"{Cable/BOS,Germany}",google,,{},"Manufactures electrical connectors, cabling and interconnection technology.",,,f,
07310044-9b1b-406a-b8d6-d6e636fb2a72,,AQVA GmbH,mail@aqva.de,+4935837969658,,,,2026-07-08 13:55:35.417759+00,2026-07-08 15:37:37.303214+00,AQVA Synergy GmbH,,,,,,Germany,https://www.aqva.de,,,"{Other,Germany}",google,,{},German engineering and technology services company.,,,f,
0732ea3d-6069-4c20-8f57-0d0435bc296d,,CBoom GmbH,info@cboom.de,,,,,2026-07-08 13:55:45.494156+00,2026-07-08 15:37:37.303214+00,CBoom International GmbH,,,,,,Germany,https://www.cboom.de,,,"{Other,Germany}",google,,{},German trading and distribution company serving energy-related industries.,,,f,
07794422-a5a7-4a16-bf74-052831004974,,WSM GmbH,info@wsm.eu,+492291860,,,,2026-07-08 13:57:33.442398+00,2026-07-08 15:37:37.303214+00,WSM – Walter Solbach Metallbau GmbH,,,,,,Germany,https://www.wsm.eu/de/,,,"{Mounting/Tracker,Germany}",google,,{},Metal fabrication company producing mounting structures and metalwork.,,,f,
078685c0-4341-47c0-b3c4-257cec93a93c,,Yingkou Ltd.,marketing@jinchenmachine.com,+86 417-6682375,,,,2026-07-08 13:57:36.732969+00,2026-07-08 15:37:37.303214+00,"Yingkou Jinchen Machinery Co., Ltd.",,,,Yingkou,Liaoning,China,https://www.jinchencorp.com,,,"{Other,China}",google,,{},Manufactures industrial machinery and equipment.,,,f,
07aa0f7a-8f4d-4dcd-bbc2-b5162ccf18dd,,SunSpec Alliance,erin@sunspec.org,+15302048172,,,,2026-07-08 13:57:17.503592+00,2026-07-08 15:37:37.303214+00,SunSpec Alliance,,,,,California,United States,https://www.sunspec.org,,,"{Association,""United States"",""Solar PV""}",google,,{},Nonprofit alliance developing open standards for distributed energy interoperability.,,,f,
07b978c5-1fff-4298-86db-26a0ef82a87e,,WI GmbH,info@wi-energy.de,+49 651 9998860,,,,2026-07-08 13:57:32.247828+00,2026-07-08 15:37:37.303214+00,WI Energy GmbH,,,,,,Germany,https://www.wi-energy.de,,,"{EPC/Installer,Germany,""Solar PV""}",google,,{},German energy company providing solar installation and energy services.,,,f,
07dd935c-f306-4be3-8fcb-6747cd356a20,,TONGWEI LTD.,sales@tongwei.com,+86-28-60707985,,,,2026-07-08 13:57:22.966715+00,2026-07-08 15:37:37.303214+00,"TONGWEI SOLAR (YANCHENG) CO., LTD.",,,,Yancheng,Jiangsu,China,https://en.tongwei.cn/,,,"{""Cell/Wafer Mfr"",China,""Solar PV""}",google,,{},"Major Chinese producer of solar cells, polysilicon and wafers.",,,f,
07f83416-cca4-42a4-af82-542e5eab61d2,,IGEN Ltd.,xuwen.guan@igen-tech.com,+86 510 68005664,,,,2026-07-08 13:56:23.011182+00,2026-07-08 15:37:37.303214+00,"IGEN Tech Co., Ltd.",,,,,,China,https://www.indevolt.com,,,"{Battery/Storage,China}",google,,{},Manufactures portable power stations and battery energy storage products.,,,f,
07f89d45-1527-4477-bc61-1ad024f5595f,,FLEXOO GmbH,sales@flexoo.de,+4962215419101,,,,2026-07-08 13:56:07.854707+00,2026-07-08 15:37:37.303214+00,FLEXOO GmbH,,,,,,Germany,https://flexoo.com,,,"{Software,Germany,Grid}",google,,{},German company offering software for energy flexibility and demand-side management.,,,f,
081db0d7-727a-4d7c-9f26-87397a455489,,encentive,contact@encentive.de,+494943215393874,,,,2026-07-08 13:56:00.058215+00,2026-07-08 15:37:37.303214+00,encentive,,,,,,Germany,https://www.encentive.de,,,"{Software,Germany,Grid}",google,,{},Develops software platform for energy management and optimization.,,,f,
082f7000-ffdc-4b83-8a36-f757b2fe5bf0,,NingBo Ltd,duval@kmforward.com,+86-13676763906,,,,2026-07-08 13:56:43.779787+00,2026-07-08 15:37:37.303214+00,"NingBo KMF Auto Parts Co., Ltd",,,,Ningbo,Zhejiang,China,https://www.kmf-ev.com,,,"{Other,China,""EV Charging""}",google,,{},Manufactures auto parts and components including for electric vehicles.,,,f,
